Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Service,Receiver points won,Receiver,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Women,10,2025/6/5,3,1,Beijing,China,Belgium,Thailand,3,1,25,25,24,25,-,22,23,26,22,-,4,9,24,16,23,19,17,1,1,-,17,4,18,39,1,4,7,12,1,1,22,24,4,0,18,22,17,4,26,8,0,30,38
Women,10,2025/6/5,3,1,Beijing,China,Thailand,Belgium,1,3,22,23,26,22,-,25,25,24,25,-,ALL,28,94,65,98,75,68,5,2,-,68,21,72,161,5,26,27,58,2,5,87,94,29,1,61,91,67,20,110,34,2,130,166
Women,10,2025/6/5,3,1,Beijing,China,Thailand,Belgium,1,3,22,23,26,22,-,25,25,24,25,-,1,3,22,19,25,19,16,3,0,-,16,6,26,48,3,9,8,20,0,1,21,22,9,0,16,25,20,4,34,13,0,37,50
Women,10,2025/6/5,3,1,Beijing,China,Thailand,Belgium,1,3,22,23,26,22,-,25,25,24,25,-,2,9,24,14,24,18,16,1,1,-,16,9,20,45,1,4,12,17,1,0,23,24,8,0,14,22,21,5,30,8,0,37,45
Women,10,2025/6/5,3,1,Beijing,China,Thailand,Belgium,1,3,22,23,26,22,-,25,25,24,25,-,3,9,25,17,25,21,19,1,1,-,19,3,8,30,1,8,3,12,1,3,21,25,7,0,14,21,9,6,18,3,0,28,31
Women,10,2025/6/5,3,1,Beijing,China,Thailand,Belgium,1,3,22,23,26,22,-,25,25,24,25,-,4,7,23,15,24,17,17,0,0,-,17,3,18,38,0,5,4,9,0,1,22,23,5,1,17,23,17,5,28,10,2,28,40
Women,11,2025/6/5,3,1,Beijing,China,China,Poland,1,3,22,25,19,21,-,25,20,25,25,-,ALL,25,88,62,94,72,61,9,2,-,61,12,65,138,9,21,22,52,2,2,85,89,11,4,72,87,45,16,83,36,0,100,136
Women,11,2025/6/5,3,1,Beijing,China,China,Poland,1,3,22,25,19,21,-,25,20,25,25,-,1,4,22,18,25,20,18,2,0,-,18,2,16,36,2,5,6,13,0,1,21,22,4,1,19,24,12,5,25,10,0,25,35
Women,11,2025/6/5,3,1,Beijing,China,China,Poland,1,3,22,25,19,21,-,25,20,25,25,-,2,10,25,15,20,22,17,3,2,-,17,1,10,28,3,2,5,10,2,1,22,25,2,1,15,18,11,4,15,10,0,18,28
Women,11,2025/6/5,3,1,Beijing,China,China,Poland,1,3,22,25,19,21,-,25,20,25,25,-,3,6,19,13,25,13,10,3,0,-,10,6,16,32,3,6,5,14,0,0,20,20,3,1,17,21,8,5,19,5,0,26,31
Women,11,2025/6/5,3,1,Beijing,China,China,Poland,1,3,22,25,19,21,-,25,20,25,25,-,4,5,22,16,24,17,16,1,0,-,16,3,23,42,1,8,6,15,0,0,22,22,2,1,21,24,14,2,24,11,0,31,42
Women,11,2025/6/5,3,1,Beijing,China,Poland,China,3,1,25,20,25,25,-,22,25,19,21,-,ALL,32,94,63,88,87,75,8,4,-,75,16,51,142,8,18,29,55,4,7,83,94,25,2,60,87,58,20,98,43,1,101,145
Women,11,2025/6/5,3,1,Beijing,China,Poland,China,3,1,25,20,25,25,-,22,25,19,21,-,1,7,25,18,22,21,19,1,1,-,19,3,15,37,1,9,7,17,1,1,23,25,9,0,12,21,16,2,23,10,0,28,38
Women,11,2025/6/5,3,1,Beijing,China,Poland,China,3,1,25,20,25,25,-,22,25,19,21,-,2,5,20,15,25,19,17,1,1,-,17,4,10,31,1,5,2,8,1,2,17,20,4,2,18,24,9,7,20,11,0,20,31
Women,11,2025/6/5,3,1,Beijing,China,Poland,China,3,1,25,20,25,25,-,22,25,19,21,-,3,12,25,13,19,23,18,4,1,-,18,5,11,34,4,2,10,16,1,4,20,25,5,0,15,20,14,4,22,11,0,24,35
Women,11,2025/6/5,3,1,Beijing,China,Poland,China,3,1,25,20,25,25,-,22,25,19,21,-,4,8,24,17,22,24,21,2,1,-,21,4,15,40,2,2,10,14,1,0,23,24,7,0,15,22,19,7,33,11,1,29,41
