Season,Match,Y/M/D,Pool,Week,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Service,Receiver points won,Receiver,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
Men,4,2025/6/11,1,1,Quebec,Canada,Bulgaria,Italy,1,3,16,25,19,19,-,25,22,25,25,-,4,5,18,14,25,11,9,1,1,-,9,4,12,25,1,5,7,13,1,6,13,20,8,1,9,18,4,6,16,5,0,20,25
Men,4,2025/6/11,1,1,Quebec,Canada,Italy,Bulgaria,3,1,25,22,25,25,-,16,25,19,19,-,ALL,40,96,56,79,71,54,11,6,-,54,10,41,105,11,13,30,54,6,19,71,96,11,6,44,61,27,10,64,32,1,68,101
Men,4,2025/6/11,1,1,Quebec,Canada,Italy,Bulgaria,3,1,25,22,25,25,-,16,25,19,19,-,1,10,24,15,17,22,17,4,1,-,17,1,10,28,4,3,8,15,1,5,19,25,1,1,11,13,8,2,18,9,0,17,26
Men,4,2025/6/11,1,1,Quebec,Canada,Italy,Bulgaria,3,1,25,22,25,25,-,16,25,19,19,-,2,6,23,16,24,14,11,1,2,-,11,2,10,23,1,5,4,10,2,5,15,22,2,2,15,19,5,2,10,8,1,15,24
Men,4,2025/6/11,1,1,Quebec,Canada,Italy,Bulgaria,3,1,25,22,25,25,-,16,25,19,19,-,3,13,24,12,20,18,12,4,2,-,12,4,14,30,4,2,13,19,2,3,20,25,2,2,11,15,8,3,21,6,0,22,28
Men,4,2025/6/11,1,1,Quebec,Canada,Italy,Bulgaria,3,1,25,22,25,25,-,16,25,19,19,-,4,11,25,13,18,17,14,2,1,-,14,3,7,24,2,3,5,10,1,6,17,24,6,1,7,14,6,3,15,9,0,14,23
Men,5,2025/6/11,2,1,Rio de Janeiro,Brazil,Ukraine,USA,3,0,25,25,25,-,-,22,20,23,-,-,ALL,24,73,51,67,51,40,6,5,-,40,13,32,85,6,16,14,36,5,16,53,74,6,3,43,52,22,8,41,23,0,56,79
Men,5,2025/6/11,2,1,Rio de Janeiro,Brazil,Ukraine,USA,3,0,25,25,25,-,-,22,20,23,-,-,1,8,24,17,23,18,14,3,1,-,14,6,13,33,3,8,6,17,1,4,20,25,0,0,19,19,10,4,19,7,0,25,32
Men,5,2025/6/11,2,1,Rio de Janeiro,Brazil,Ukraine,USA,3,0,25,25,25,-,-,22,20,23,-,-,2,8,25,17,20,16,12,2,2,-,12,3,14,29,2,5,8,15,2,5,17,24,1,1,12,14,7,1,12,5,0,19,24
Men,5,2025/6/11,2,1,Rio de Janeiro,Brazil,Ukraine,USA,3,0,25,25,25,-,-,22,20,23,-,-,3,8,24,17,24,17,14,1,2,-,14,4,5,23,1,3,0,4,2,7,16,25,5,2,12,19,5,3,10,11,0,12,23
Men,5,2025/6/11,2,1,Rio de Janeiro,Brazil,USA,Ukraine,0,3,22,20,23,-,-,25,25,25,-,-,ALL,16,67,49,73,44,33,8,3,-,33,16,27,76,8,11,16,35,3,14,49,66,4,5,49,58,21,10,45,10,0,67,77
Men,5,2025/6/11,2,1,Rio de Janeiro,Brazil,USA,Ukraine,0,3,22,20,23,-,-,25,25,25,-,-,1,6,23,16,24,14,12,2,0,-,12,7,13,32,2,5,9,16,0,3,19,22,2,1,18,21,9,6,21,2,0,29,31
Men,5,2025/6/11,2,1,Rio de Janeiro,Brazil,USA,Ukraine,0,3,22,20,23,-,-,25,25,25,-,-,2,3,20,17,25,14,11,2,1,-,11,4,10,25,2,3,4,9,1,7,13,21,0,2,17,19,8,3,18,4,0,23,27
Men,5,2025/6/11,2,1,Rio de Janeiro,Brazil,USA,Ukraine,0,3,22,20,23,-,-,25,25,25,-,-,3,7,24,16,24,16,10,4,2,-,10,5,4,19,4,3,3,10,2,4,17,23,2,2,14,18,4,1,6,4,0,15,19
Men,6,2025/6/11,1,1,Quebec,Canada,Argentina,France,3,1,25,13,25,25,-,22,25,22,19,-,ALL,27,87,61,89,51,41,8,2,-,41,18,46,105,8,15,17,40,2,18,67,87,14,4,44,62,37,8,57,27,2,72,101
Men,6,2025/6/11,1,1,Quebec,Canada,Argentina,France,3,1,25,13,25,25,-,22,25,22,19,-,1,9,24,16,23,11,10,1,0,-,10,6,11,27,1,6,4,11,0,5,19,24,5,0,10,15,10,1,13,7,1,17,25
Men,6,2025/6/11,1,1,Quebec,Canada,Argentina,France,3,1,25,13,25,25,-,22,25,22,19,-,2,0,14,13,24,8,8,0,0,-,8,5,6,19,0,4,4,8,0,4,10,14,4,3,13,20,2,3,7,4,1,15,20
Men,6,2025/6/11,1,1,Quebec,Canada,Argentina,France,3,1,25,13,25,25,-,22,25,22,19,-,3,8,24,17,23,15,10,4,1,-,10,3,16,29,4,1,5,10,1,5,18,24,3,1,10,14,15,3,20,7,0,21,28
Men,6,2025/6/11,1,1,Quebec,Canada,Argentina,France,3,1,25,13,25,25,-,22,25,22,19,-,4,10,25,15,19,17,13,3,1,-,13,4,13,30,3,4,4,11,1,4,20,25,2,0,11,13,10,1,17,9,0,19,28
Men,6,2025/6/11,1,1,Quebec,Canada,France,Argentina,1,3,22,25,22,19,-,25,13,25,25,-,ALL,28,89,60,87,56,46,6,4,-,46,15,41,102,6,18,20,44,4,27,58,89,22,2,45,69,29,11,57,25,0,78,103
Men,6,2025/6/11,1,1,Quebec,Canada,France,Argentina,1,3,22,25,22,19,-,25,13,25,25,-,1,7,23,15,24,12,10,2,0,-,10,6,13,29,2,5,4,11,0,8,15,23,8,0,11,19,6,3,14,2,0,26,28
Men,6,2025/6/11,1,1,Quebec,Canada,France,Argentina,1,3,22,25,22,19,-,25,13,25,25,-,2,11,24,14,14,16,12,1,3,-,12,0,5,17,1,5,3,9,3,4,17,24,5,0,5,10,5,2,9,8,0,8,16
Men,6,2025/6/11,1,1,Quebec,Canada,France,Argentina,1,3,22,25,22,19,-,25,13,25,25,-,3,6,23,16,24,14,13,0,1,-,13,4,13,30,0,6,6,12,1,9,13,23,3,1,15,19,12,0,16,5,0,26,31
Men,6,2025/6/11,1,1,Quebec,Canada,France,Argentina,1,3,22,25,22,19,-,25,13,25,25,-,4,4,19,15,25,14,11,3,0,-,11,5,10,26,3,2,7,12,0,6,13,19,6,1,14,21,6,6,18,10,0,18,28
Men,7,2025/6/11,2,1,Rio de Janeiro,Brazil,Brazil,Iran,3,0,25,25,25,-,-,19,16,18,-,-,ALL,30,74,45,54,50,37,10,3,-,37,8,18,63,10,15,9,34,3,10,61,74,12,1,26,39,17,9,38,23,0,39,62
Men,7,2025/6/11,2,1,Rio de Janeiro,Brazil,Brazil,Iran,3,0,25,25,25,-,-,19,16,18,-,-,1,9,25,16,19,16,12,3,1,-,12,1,7,20,3,8,2,13,1,3,21,25,3,0,11,14,4,1,10,8,0,14,22
Men,7,2025/6/11,2,1,Rio de Janeiro,Brazil,Brazil,Iran,3,0,25,25,25,-,-,19,16,18,-,-,2,10,24,15,17,18,14,3,1,-,14,4,6,24,3,4,5,12,1,4,19,24,6,0,7,13,8,3,14,9,0,14,23
Men,7,2025/6/11,2,1,Rio de Janeiro,Brazil,Brazil,Iran,3,0,25,25,25,-,-,19,16,18,-,-,3,11,25,14,18,16,11,4,1,-,11,3,5,19,4,3,2,9,1,3,21,25,3,1,8,12,5,5,14,6,0,11,17
Men,7,2025/6/11,2,1,Rio de Janeiro,Brazil,Iran,Brazil,0,3,19,16,18,-,-,25,25,25,-,-,ALL,9,54,44,74,38,32,5,1,-,32,18,22,72,5,13,5,23,1,15,38,54,19,3,42,64,12,11,32,29,1,46,76
Men,7,2025/6/11,2,1,Rio de Janeiro,Brazil,Iran,Brazil,0,3,19,16,18,-,-,25,25,25,-,-,1,3,19,16,25,14,14,0,0,-,14,7,6,27,0,4,1,5,0,5,14,19,5,1,16,22,6,4,12,9,0,20,29
Men,7,2025/6/11,2,1,Rio de Janeiro,Brazil,Iran,Brazil,0,3,19,16,18,-,-,25,25,25,-,-,2,2,17,14,24,11,8,3,0,-,8,5,10,23,3,3,1,7,0,4,13,17,5,1,14,20,3,6,14,8,0,15,23
Men,7,2025/6/11,2,1,Rio de Janeiro,Brazil,Iran,Brazil,0,3,19,16,18,-,-,25,25,25,-,-,3,4,18,14,25,13,10,2,1,-,10,6,6,22,2,6,3,11,1,6,11,18,9,1,12,22,3,1,6,12,1,11,24
Men,8,2025/6/12,1,1,Quebec,Canada,Germany,Canada,2,3,25,19,25,23,11,23,25,21,25,15,ALL,28,103,75,109,69,58,8,3,-,58,22,42,122,8,11,16,35,3,28,72,103,19,8,63,90,35,13,65,31,0,92,123
Men,8,2025/6/12,1,1,Quebec,Canada,Germany,Canada,2,3,25,19,25,23,11,23,25,21,25,15,1,5,24,20,24,19,16,2,1,-,16,4,8,28,2,2,5,9,1,7,17,25,4,1,14,19,9,4,15,6,0,22,28
Men,8,2025/6/12,1,1,Quebec,Canada,Germany,Canada,2,3,25,19,25,23,11,23,25,21,25,15,2,3,20,16,24,12,11,1,0,-,11,4,5,20,1,2,1,4,0,6,13,19,2,2,15,19,4,2,8,7,0,13,20
Men,8,2025/6/12,1,1,Quebec,Canada,Germany,Canada,2,3,25,19,25,23,11,23,25,21,25,15,3,9,24,16,22,17,14,3,0,-,14,7,10,31,3,1,3,7,0,6,19,25,4,1,14,19,13,2,19,9,0,24,33
Men,8,2025/6/12,1,1,Quebec,Canada,Germany,Canada,2,3,25,19,25,23,11,23,25,21,25,15,4,10,24,13,24,14,11,1,2,-,11,5,12,28,1,5,3,9,2,5,16,23,6,3,12,21,7,2,14,6,0,21,27
Men,8,2025/6/12,1,1,Quebec,Canada,Germany,Canada,2,3,25,19,25,23,11,23,25,21,25,15,5,1,11,10,15,7,6,1,0,-,6,2,7,15,1,1,4,6,0,4,7,11,3,1,8,12,2,3,9,3,0,12,15
Men,8,2025/6/12,1,1,Quebec,Canada,Canada,Germany,3,2,23,25,21,25,15,25,19,25,23,11,ALL,34,109,75,103,71,49,14,8,-,49,17,48,114,14,19,13,46,8,19,82,109,18,3,54,75,33,18,66,34,2,79,115
Men,8,2025/6/12,1,1,Quebec,Canada,Canada,Germany,3,2,23,25,21,25,15,25,19,25,23,11,1,4,24,19,24,14,9,4,1,-,9,4,11,24,4,4,3,11,1,4,18,23,3,1,14,18,5,7,15,3,0,21,24
Men,8,2025/6/12,1,1,Quebec,Canada,Canada,Germany,3,2,23,25,21,25,15,25,19,25,23,11,2,8,24,17,20,17,13,2,2,-,13,1,5,19,2,4,1,7,2,6,17,25,2,0,11,13,6,4,12,9,0,10,19
Men,8,2025/6/12,1,1,Quebec,Canada,Canada,Germany,3,2,23,25,21,25,15,25,19,25,23,11,3,6,22,15,24,13,7,5,1,-,7,6,13,26,5,3,3,11,1,2,18,21,4,0,15,19,8,2,13,9,2,17,28
